 time (at Rp)     ftot (code)     sigma0 (code)
  0.00000E+00   0.12419E-08   0.21965E-05
  0.95173E+08   0.11237E-08   0.20338E-05
  0.19035E+09   0.10168E-08   0.18833E-05
  0.28552E+09   0.92005E-09   0.17438E-05
  0.38069E+09   0.83249E-09   0.16147E-05
  0.47587E+09   0.75327E-09   0.14952E-05
  0.57104E+09   0.68159E-09   0.13845E-05
  0.66621E+09   0.61673E-09   0.12820E-05
  0.76139E+09   0.55804E-09   0.11870E-05
  0.85656E+09   0.50493E-09   0.10992E-05
  0.95173E+09   0.45688E-09   0.10178E-05
  0.10469E+10   0.41340E-09   0.94242E-06
  0.11421E+10   0.37406E-09   0.87265E-06
  0.12373E+10   0.33847E-09   0.80804E-06
  0.13324E+10   0.30626E-09   0.74821E-06
  0.14276E+10   0.27711E-09   0.69281E-06
  0.15228E+10   0.25074E-09   0.64152E-06
  0.16179E+10   0.22688E-09   0.59402E-06
  0.17131E+10   0.20529E-09   0.55004E-06
  0.18083E+10   0.18575E-09   0.50932E-06
  0.19035E+10   0.16808E-09   0.47161E-06
  0.19986E+10   0.15208E-09   0.43669E-06
  0.20938E+10   0.13761E-09   0.40436E-06
  0.21890E+10   0.12451E-09   0.37442E-06
  0.22842E+10   0.11267E-09   0.34670E-06
  0.23793E+10   0.10194E-09   0.32103E-06
  0.24745E+10   0.92243E-10   0.29726E-06
  0.25697E+10   0.83465E-10   0.27525E-06
  0.26649E+10   0.75522E-10   0.25487E-06
  0.27600E+10   0.68335E-10   0.23600E-06
  0.28552E+10   0.61832E-10   0.21853E-06
  0.29504E+10   0.55948E-10   0.20235E-06
  0.30455E+10   0.50624E-10   0.18737E-06
  0.31407E+10   0.45806E-10   0.17349E-06
  0.32359E+10   0.41447E-10   0.16065E-06
  0.33311E+10   0.37503E-10   0.14876E-06
  0.34262E+10   0.33934E-10   0.13774E-06
  0.35214E+10   0.30705E-10   0.12754E-06
  0.36166E+10   0.27783E-10   0.11810E-06
  0.37118E+10   0.25139E-10   0.10936E-06
  0.38069E+10   0.22747E-10   0.10126E-06
  0.39021E+10   0.20582E-10   0.93762E-07
  0.39973E+10   0.18624E-10   0.86820E-07
  0.40925E+10   0.16851E-10   0.80392E-07
  0.41876E+10   0.15248E-10   0.74440E-07
  0.42828E+10   0.13797E-10   0.68929E-07
  0.43780E+10   0.12484E-10   0.63825E-07
  0.44731E+10   0.11296E-10   0.59100E-07
  0.45683E+10   0.10221E-10   0.54724E-07
  0.46635E+10   0.92482E-11   0.50672E-07
  0.47587E+10   0.83681E-11   0.46921E-07
  0.48538E+10   0.75718E-11   0.43447E-07
  0.49490E+10   0.68512E-11   0.40230E-07
  0.50442E+10   0.61992E-11   0.37251E-07
  0.51394E+10   0.56093E-11   0.34493E-07
  0.52345E+10   0.50755E-11   0.31939E-07
  0.53297E+10   0.45925E-11   0.29575E-07
  0.54249E+10   0.41555E-11   0.27385E-07
  0.55201E+10   0.37600E-11   0.25357E-07
  0.56152E+10   0.34022E-11   0.23480E-07
  0.57104E+10   0.30785E-11   0.21742E-07
  0.58056E+10   0.27855E-11   0.20132E-07
  0.59007E+10   0.25204E-11   0.18641E-07
  0.59959E+10   0.22806E-11   0.17261E-07
  0.60911E+10   0.20636E-11   0.15983E-07
  0.61863E+10   0.18672E-11   0.14800E-07
  0.62814E+10   0.16895E-11   0.13704E-07
  0.63766E+10   0.15287E-11   0.12689E-07
  0.64718E+10   0.13832E-11   0.11750E-07
  0.65670E+10   0.12516E-11   0.10880E-07
  0.66621E+10   0.11325E-11   0.10074E-07
  0.67573E+10   0.10247E-11   0.93285E-08
  0.68525E+10   0.92721E-12   0.86378E-08
  0.69477E+10   0.83898E-12   0.79983E-08
  0.70428E+10   0.75914E-12   0.74061E-08
  0.71380E+10   0.68690E-12   0.68578E-08
  0.72332E+10   0.62153E-12   0.63500E-08
  0.73283E+10   0.56238E-12   0.58799E-08
  0.74235E+10   0.50887E-12   0.54445E-08
  0.75187E+10   0.46044E-12   0.50414E-08
  0.76139E+10   0.41662E-12   0.46682E-08
  0.77090E+10   0.37698E-12   0.43225E-08
  0.78042E+10   0.34110E-12   0.40025E-08
  0.78994E+10   0.30864E-12   0.37062E-08
  0.79946E+10   0.27927E-12   0.34318E-08
  0.80897E+10   0.25270E-12   0.31777E-08
  0.81849E+10   0.22865E-12   0.29424E-08
  0.82801E+10   0.20689E-12   0.27246E-08
  0.83753E+10   0.18720E-12   0.25228E-08
  0.84704E+10   0.16939E-12   0.23360E-08
  0.85656E+10   0.15327E-12   0.21631E-08
  0.86608E+10   0.13868E-12   0.20029E-08
  0.87559E+10   0.12548E-12   0.18546E-08
  0.88511E+10   0.11354E-12   0.17173E-08
  0.89463E+10   0.10274E-12   0.15902E-08
  0.90415E+10   0.92962E-13   0.14724E-08
  0.91366E+10   0.84115E-13   0.13634E-08
  0.92318E+10   0.76110E-13   0.12625E-08
  0.93270E+10   0.68868E-13   0.11690E-08
  0.94222E+10   0.62314E-13   0.10825E-08
  0.95173E+10   0.56384E-13   0.10023E-08
  0.96125E+10   0.51018E-13   0.92810E-09
  0.97077E+10   0.46163E-13   0.85938E-09
  0.98029E+10   0.41770E-13   0.79576E-09
  0.98980E+10   0.37795E-13   0.73684E-09
  0.99932E+10   0.34199E-13   0.68228E-09
